edge_idx,relative_position_x,relative_position_y,face_length,length,slope
157,0.0,25.0,25.0,25.0,-0.32375
158,0.0,25.0,25.0,25.0,-0.18875
159,-25.0,0.0,25.0,25.0,0.02375
160,0.0,25.0,25.0,25.0,-0.01625
161,-25.0,0.0,25.0,25.0,0.1275
162,-25.0,0.0,25.0,25.0,0.02625
163,25.0,0.0,25.0,25.0,-0.0375
164,0.0,25.0,25.0,25.0,-0.0325
165,0.0,25.0,25.0,25.0,-0.01375
166,25.0,0.0,25.0,25.0,-0.02
167,0.0,25.0,25.0,25.0,-0.12
168,-25.0,0.0,25.0,25.0,0.06375
169,0.0,25.0,25.0,25.0,-0.035
170,25.0,0.0,25.0,25.0,-0.13
171,-25.0,0.0,25.0,25.0,0.1275
172,25.0,0.0,25.0,25.0,-0.1275
173,0.0,25.0,25.0,25.0,-0.10125
174,0.0,25.0,25.0,25.0,-0.01875
175,-25.0,0.0,25.0,25.0,0.06625
176,0.0,25.0,25.0,25.0,-0.02375
177,-25.0,0.0,25.0,25.0,0.07
178,0.0,25.0,25.0,25.0,-0.0325
179,0.0,25.0,25.0,25.0,-0.0325
180,-25.0,0.0,25.0,25.0,0.05
181,0.0,25.0,25.0,25.0,-0.17875
182,0.0,25.0,25.0,25.0,-0.03875
183,-25.0,0.0,25.0,25.0,0.02375
184,0.0,25.0,25.0,25.0,-0.01875
185,-25.0,0.0,25.0,25.0,0.0225
186,0.0,25.0,25.0,25.0,-0.03
187,-25.0,0.0,25.0,25.0,0.00875
188,0.0,25.0,25.0,25.0,-0.03
189,-25.0,0.0,25.0,25.0,-0.00625
190,0.0,25.0,25.0,25.0,-0.04875
191,-25.0,0.0,25.0,25.0,0.01125
192,0.0,25.0,25.0,25.0,-0.08125
193,-25.0,0.0,25.0,25.0,-0.1325
194,0.0,25.0,25.0,25.0,-0.1125
195,-25.0,0.0,25.0,25.0,-0.15625
196,0.0,25.0,25.0,25.0,-0.1
197,-25.0,0.0,25.0,25.0,0.02875
198,0.0,25.0,25.0,25.0,-0.0825
199,-25.0,0.0,25.0,25.0,0.10375
200,0.0,25.0,25.0,25.0,-0.15625
201,-25.0,0.0,25.0,25.0,-0.1175
202,0.0,25.0,25.0,25.0,-0.05375
203,0.0,25.0,25.0,25.0,-0.0275
204,-25.0,0.0,25.0,25.0,0.19625
205,25.0,0.0,25.0,25.0,0.035
206,0.0,25.0,25.0,25.0,-0.05625
207,-25.0,0.0,25.0,25.0,0.07875
208,0.0,25.0,25.0,25.0,-0.0175
209,-25.0,0.0,25.0,25.0,0.08375
210,0.0,25.0,25.0,25.0,0.00625
211,-25.0,25.0,35.35534,35.35534,0.052149124
212,25.0,0.0,25.0,25.0,-0.03625
213,-25.0,0.0,25.0,25.0,0.0675
214,25.0,0.0,25.0,25.0,-0.01625
215,0.0,25.0,25.0,25.0,-0.22875
216,0.0,25.0,25.0,25.0,-0.1425
217,-25.0,25.0,35.35534,35.35534,-0.11136932
218,25.0,0.0,25.0,25.0,-0.075
219,0.0,25.0,25.0,25.0,-0.035
220,-25.0,0.0,25.0,25.0,0.05875
221,25.0,25.0,35.35534,35.35534,-0.18561552
222,0.0,25.0,25.0,25.0,-0.055
223,-25.0,0.0,25.0,25.0,0.03125
224,25.0,25.0,35.35534,35.35534,-0.09987883
225,0.0,25.0,25.0,25.0,-0.065
226,-25.0,0.0,25.0,25.0,0.2075
227,0.0,25.0,25.0,25.0,-0.00375
228,-25.0,0.0,25.0,25.0,0.0425
229,-25.0,0.0,25.0,25.0,-0.005
230,25.0,25.0,35.35534,35.35534,-0.06098796
231,0.0,25.0,25.0,25.0,-0.06
232,0.0,25.0,25.0,25.0,-0.03
233,-25.0,0.0,25.0,25.0,0.06625
234,0.0,25.0,25.0,25.0,-0.08625
235,0.0,25.0,25.0,25.0,-0.01375
236,-25.0,0.0,25.0,25.0,0.06125
237,0.0,25.0,25.0,25.0,-0.03125
238,-25.0,0.0,25.0,25.0,0.04375
239,0.0,25.0,25.0,25.0,-0.1575
240,0.0,25.0,25.0,25.0,-0.03625
241,-25.0,0.0,25.0,25.0,0.04375
242,0.0,25.0,25.0,25.0,-0.0675
243,-25.0,0.0,25.0,25.0,0.01125
244,0.0,25.0,25.0,25.0,-0.01875
245,0.0,25.0,25.0,25.0,-0.08125
246,-25.0,0.0,25.0,25.0,0.00875
247,0.0,25.0,25.0,25.0,-0.085
248,-25.0,0.0,25.0,25.0,-0.025
249,0.0,25.0,25.0,25.0,-0.085
250,-25.0,0.0,25.0,25.0,-0.02125
251,0.0,25.0,25.0,25.0,-0.105
252,-25.0,0.0,25.0,25.0,-0.16375
253,0.0,25.0,25.0,25.0,-0.15
254,-25.0,0.0,25.0,25.0,-0.12625
255,0.0,25.0,25.0,25.0,-0.02625
256,-25.0,0.0,25.0,25.0,0.03
257,0.0,25.0,25.0,25.0,-0.04375
258,-25.0,0.0,25.0,25.0,0.01125
259,0.0,25.0,25.0,25.0,0.03375
260,-25.0,0.0,25.0,25.0,0.045
261,0.0,25.0,25.0,25.0,0.02625
262,0.0,25.0,25.0,25.0,-0.0175
263,-25.0,0.0,25.0,25.0,0.06625
264,25.0,-25.0,35.35534,35.35534,0.021213204
265,25.0,0.0,25.0,25.0,-0.00375
266,0.0,25.0,25.0,25.0,-0.015
267,25.0,0.0,25.0,25.0,-0.06625
268,0.0,25.0,25.0,25.0,-0.05375
269,-25.0,0.0,25.0,25.0,0.1175
270,0.0,25.0,25.0,25.0,-0.03125
271,-25.0,0.0,25.0,25.0,0.0825
272,25.0,0.0,25.0,25.0,-0.05875
273,0.0,25.0,25.0,25.0,-0.0825
274,-25.0,0.0,25.0,25.0,0.1275
275,-25.0,0.0,25.0,25.0,0.01
276,25.0,0.0,25.0,25.0,-0.025
277,0.0,25.0,25.0,25.0,-0.0125
278,0.0,25.0,25.0,25.0,-0.03375
279,-25.0,0.0,25.0,25.0,0.1125
280,0.0,25.0,25.0,25.0,-0.06625
281,-25.0,0.0,25.0,25.0,0.21
282,0.0,25.0,25.0,25.0,-0.02375
283,-25.0,0.0,25.0,25.0,0.02625
284,0.0,25.0,25.0,25.0,-0.0725
285,-25.0,0.0,25.0,25.0,0.08125
286,0.0,25.0,25.0,25.0,-0.0175
287,0.0,25.0,25.0,25.0,-0.03125
288,-25.0,0.0,25.0,25.0,0.0325
289,0.0,25.0,25.0,25.0,-0.01875
290,-25.0,0.0,25.0,25.0,0.04375
291,0.0,25.0,25.0,25.0,-0.02125
292,-25.0,0.0,25.0,25.0,0.03875
293,0.0,25.0,25.0,25.0,-0.015
294,0.0,25.0,25.0,25.0,-0.0175
295,-25.0,0.0,25.0,25.0,0.0125
296,0.0,25.0,25.0,25.0,-0.045
297,-25.0,0.0,25.0,25.0,-0.0025
298,0.0,25.0,25.0,25.0,-0.035
299,0.0,25.0,25.0,25.0,-0.04875
300,-25.0,0.0,25.0,25.0,0.005
301,0.0,25.0,25.0,25.0,-0.1025
302,-25.0,0.0,25.0,25.0,-0.025
303,0.0,25.0,25.0,25.0,-0.07625
304,-25.0,0.0,25.0,25.0,-0.04125
305,0.0,25.0,25.0,25.0,-0.0575
306,-25.0,0.0,25.0,25.0,-0.20875
307,0.0,25.0,25.0,25.0,0.00375
308,-25.0,0.0,25.0,25.0,-0.0025
309,0.0,25.0,25.0,25.0,-0.02625
310,-25.0,0.0,25.0,25.0,0.0125
311,0.0,25.0,25.0,25.0,-0.00375
312,-25.0,0.0,25.0,25.0,0.0375
313,-25.0,0.0,25.0,25.0,0.01125
314,25.0,0.0,25.0,25.0,-0.07875
315,0.0,25.0,25.0,25.0,-0.065
316,0.0,25.0,25.0,25.0,-0.03125
317,-25.0,0.0,25.0,25.0,-0.00125
318,0.0,25.0,25.0,25.0,-0.21125
319,-25.0,0.0,25.0,25.0,0.0375
320,0.0,25.0,25.0,25.0,-0.2325
321,0.0,25.0,25.0,25.0,-0.00625
322,-25.0,0.0,25.0,25.0,0.06875
323,0.0,25.0,25.0,25.0,-0.00125
324,-25.0,0.0,25.0,25.0,0.0275
325,25.0,0.0,25.0,25.0,-0.14
326,0.0,25.0,25.0,25.0,-0.13125
327,-25.0,0.0,25.0,25.0,-0.015
328,25.0,0.0,25.0,25.0,-0.15375
329,0.0,25.0,25.0,25.0,-0.07875
330,0.0,25.0,25.0,25.0,-0.03375
331,25.0,0.0,25.0,25.0,-0.045
332,0.0,25.0,25.0,25.0,0.00375
333,-25.0,0.0,25.0,25.0,0.02625
334,-25.0,0.0,25.0,25.0,0.03
335,25.0,0.0,25.0,25.0,-0.0325
336,0.0,25.0,25.0,25.0,-0.0325
337,0.0,25.0,25.0,25.0,-0.025
338,-25.0,0.0,25.0,25.0,-0.01125
339,0.0,25.0,25.0,25.0,-0.04375
340,25.0,0.0,25.0,25.0,-0.0625
341,-25.0,0.0,25.0,25.0,0.04375
342,25.0,0.0,25.0,25.0,-0.10625
343,0.0,25.0,25.0,25.0,-0.105
344,0.0,25.0,25.0,25.0,-0.07375
345,-25.0,0.0,25.0,25.0,0.0375
346,0.0,25.0,25.0,25.0,-0.03
347,-25.0,0.0,25.0,25.0,0.08
348,0.0,25.0,25.0,25.0,-0.0875
349,0.0,25.0,25.0,25.0,-0.07875
350,-25.0,0.0,25.0,25.0,0.20375
351,0.0,25.0,25.0,25.0,-0.10625
352,-25.0,0.0,25.0,25.0,0.1225
353,0.0,25.0,25.0,25.0,-0.0575
354,-25.0,0.0,25.0,25.0,0.045
355,0.0,25.0,25.0,25.0,-0.06375
356,-25.0,0.0,25.0,25.0,0.04125
357,0.0,25.0,25.0,25.0,-0.1375
358,-25.0,0.0,25.0,25.0,0.0425
359,0.0,25.0,25.0,25.0,-0.185
360,-25.0,0.0,25.0,25.0,-0.015
361,0.0,25.0,25.0,25.0,-0.02
362,0.0,25.0,25.0,25.0,-0.17875
363,-25.0,0.0,25.0,25.0,-0.00625
364,0.0,25.0,25.0,25.0,-0.1975
365,-25.0,0.0,25.0,25.0,-0.04875
366,0.0,25.0,25.0,25.0,-0.14625
367,-25.0,0.0,25.0,25.0,0.00125
368,0.0,25.0,25.0,25.0,-0.10375
369,-25.0,0.0,25.0,25.0,-0.0225
370,0.0,25.0,25.0,25.0,-0.08875
371,-25.0,0.0,25.0,25.0,-0.1475
372,0.0,25.0,25.0,25.0,-0.0925
373,-25.0,0.0,25.0,25.0,-0.0325
374,0.0,25.0,25.0,25.0,0.00125
375,-25.0,0.0,25.0,25.0,0.035
376,0.0,25.0,25.0,25.0,-0.00375
377,-25.0,0.0,25.0,25.0,0.01625
378,0.0,25.0,25.0,25.0,-0.03125
379,-25.0,0.0,25.0,25.0,0.035
380,0.0,25.0,25.0,25.0,-0.01625
381,-25.0,0.0,25.0,25.0,0.02
382,0.0,25.0,25.0,25.0,-0.0225
383,0.0,25.0,25.0,25.0,-0.0125
384,-25.0,0.0,25.0,25.0,0.07375
385,0.0,25.0,25.0,25.0,-0.01375
386,-25.0,0.0,25.0,25.0,0.00875
387,0.0,25.0,25.0,25.0,-0.005
388,-25.0,0.0,25.0,25.0,0.02875
389,25.0,0.0,25.0,25.0,-0.145
390,0.0,25.0,25.0,25.0,0.005
391,0.0,25.0,25.0,25.0,-0.00375
392,-25.0,0.0,25.0,25.0,0.00375
393,25.0,0.0,25.0,25.0,-0.03
394,0.0,25.0,25.0,25.0,-0.01625
395,25.0,0.0,25.0,25.0,-0.01875
396,0.0,25.0,25.0,25.0,0.01
397,-25.0,0.0,25.0,25.0,0.02
398,0.0,25.0,25.0,25.0,-0.11
399,25.0,0.0,25.0,25.0,-0.185
400,-25.0,0.0,25.0,25.0,0.11125
401,25.0,0.0,25.0,25.0,-0.0925
402,0.0,25.0,25.0,25.0,-0.00875
403,0.0,25.0,25.0,25.0,-0.03625
404,-25.0,0.0,25.0,25.0,0.075
405,25.0,25.0,35.35534,35.35534,-0.03535534
406,0.0,25.0,25.0,25.0,-0.01125
407,-25.0,0.0,25.0,25.0,0.07625
408,0.0,25.0,25.0,25.0,-0.03625
409,-25.0,0.0,25.0,25.0,-0.01625
410,0.0,25.0,25.0,25.0,-0.0175
411,0.0,25.0,25.0,25.0,-0.0425
412,-25.0,0.0,25.0,25.0,0.03125
413,0.0,25.0,25.0,25.0,-0.0775
414,-25.0,0.0,25.0,25.0,0.17625
415,0.0,25.0,25.0,25.0,-0.13
416,-25.0,0.0,25.0,25.0,0.17125
417,0.0,25.0,25.0,25.0,-0.15
418,-25.0,0.0,25.0,25.0,0.03875
419,0.0,25.0,25.0,25.0,-0.105
420,-25.0,0.0,25.0,25.0,-0.0325
421,0.0,25.0,25.0,25.0,-0.0275
422,-25.0,0.0,25.0,25.0,-0.005
423,0.0,25.0,25.0,25.0,0.01125
424,-25.0,0.0,25.0,25.0,-0.00875
425,0.0,25.0,25.0,25.0,-0.02625
426,-25.0,0.0,25.0,25.0,-0.025
427,0.0,25.0,25.0,25.0,0.00125
428,0.0,25.0,25.0,25.0,-0.34125
429,-25.0,0.0,25.0,25.0,0.0025
430,0.0,25.0,25.0,25.0,-0.2075
431,-25.0,0.0,25.0,25.0,0.04375
432,0.0,25.0,25.0,25.0,-0.07375
433,-25.0,0.0,25.0,25.0,-0.0075
434,0.0,25.0,25.0,25.0,-0.175
435,-25.0,0.0,25.0,25.0,-0.15125
436,0.0,25.0,25.0,25.0,-0.01625
437,-25.0,0.0,25.0,25.0,0.06125
438,0.0,25.0,25.0,25.0,0.00625
439,-25.0,0.0,25.0,25.0,0.0025
440,0.0,25.0,25.0,25.0,0.0225
441,-25.0,0.0,25.0,25.0,0.05375
442,0.0,25.0,25.0,25.0,0.0125
443,-25.0,0.0,25.0,25.0,0.01375
444,-25.0,0.0,25.0,25.0,0.14875
445,25.0,0.0,25.0,25.0,-0.035
446,0.0,25.0,25.0,25.0,-0.0025
447,0.0,25.0,25.0,25.0,0.0025
448,-25.0,0.0,25.0,25.0,0.04375
449,0.0,25.0,25.0,25.0,-0.00125
450,-25.0,0.0,25.0,25.0,0.0975
451,0.0,25.0,25.0,25.0,0.00375
452,-25.0,0.0,25.0,25.0,0.0725
453,0.0,25.0,25.0,25.0,-0.025
454,0.0,25.0,25.0,25.0,0.0
455,-25.0,0.0,25.0,25.0,0.0175
456,0.0,25.0,25.0,25.0,-0.005
457,0.0,25.0,25.0,25.0,0.0025
458,0.0,25.0,25.0,25.0,-0.0025
459,-25.0,0.0,25.0,25.0,0.0
460,0.0,25.0,25.0,25.0,-0.00875
461,-25.0,25.0,35.35534,35.35534,-0.018561553
462,25.0,0.0,25.0,25.0,-0.005
463,-25.0,0.0,25.0,25.0,-0.0175
464,25.0,0.0,25.0,25.0,-0.02875
465,0.0,25.0,25.0,25.0,-0.0075
466,0.0,25.0,25.0,25.0,0.00625
467,-25.0,25.0,35.35534,35.35534,-0.00088388345
468,0.0,25.0,25.0,25.0,0.005
469,-25.0,0.0,25.0,25.0,0.07375
470,25.0,25.0,35.35534,35.35534,-0.0044194176
471,0.0,25.0,25.0,25.0,0.01375
472,-25.0,0.0,25.0,25.0,0.03875
473,0.0,-25.0,25.0,25.0,-0.02125
474,24.8125,-6.46875,25.641502,25.641502,-0.041436728
475,-25.0,0.0,25.0,25.0,0.02
476,9.8125,-10.4375,14.3282,14.3282,-0.056706354
477,25.0,25.0,35.35534,35.35534,-0.02032932
478,0.0,25.0,25.0,25.0,-0.0225
479,0.0,25.0,25.0,25.0,0.005
480,-25.0,0.0,25.0,25.0,0.01
481,0.0,25.0,25.0,25.0,-0.00625
482,-25.0,0.0,25.0,25.0,0.03875
483,0.0,25.0,25.0,25.0,-0.045
484,-25.0,0.0,25.0,25.0,0.075
485,0.0,25.0,25.0,25.0,0.0175
486,-25.0,0.0,25.0,25.0,0.07
487,0.0,25.0,25.0,25.0,0.02375
488,0.0,25.0,25.0,25.0,-0.05875
489,-25.0,0.0,25.0,25.0,-0.0225
490,0.0,25.0,25.0,25.0,-0.0325
491,-25.0,0.0,25.0,25.0,-0.00375
492,0.0,25.0,25.0,25.0,-0.0475
493,-25.0,0.0,25.0,25.0,0.12375
494,0.0,25.0,25.0,25.0,-0.07625
495,-25.0,0.0,25.0,25.0,0.15125
496,0.0,25.0,25.0,25.0,-0.03875
497,-25.0,0.0,25.0,25.0,0.08375
498,0.0,25.0,25.0,25.0,-0.02375
499,-25.0,0.0,25.0,25.0,0.045
500,0.0,25.0,25.0,25.0,-0.02
501,-25.0,0.0,25.0,25.0,0.03375
502,0.0,25.0,25.0,25.0,-0.0325
503,-25.0,0.0,25.0,25.0,-0.04625
504,0.0,25.0,25.0,25.0,-0.05375
505,-25.0,0.0,25.0,25.0,-0.34
506,0.0,25.0,25.0,25.0,0.03
507,-25.0,0.0,25.0,25.0,0.13625
508,0.0,25.0,25.0,25.0,-0.13
509,-25.0,0.0,25.0,25.0,0.1775
510,0.0,25.0,25.0,25.0,-0.11375
511,-25.0,0.0,25.0,25.0,-0.10875
512,0.0,25.0,25.0,25.0,-0.04125
513,-25.0,0.0,25.0,25.0,0.0075
514,0.0,25.0,25.0,25.0,-0.015
515,-25.0,0.0,25.0,25.0,0.08375
516,-25.0,0.0,25.0,25.0,0.0075
517,25.0,0.0,25.0,25.0,-0.02625
518,0.0,25.0,25.0,25.0,-0.01375
519,0.0,25.0,25.0,25.0,-0.01375
520,-25.0,0.0,25.0,25.0,0.0075
521,-25.0,0.0,25.0,25.0,0.01875
522,0.0,25.0,25.0,25.0,-0.035
523,0.0,25.0,25.0,25.0,-0.02
524,-25.0,0.0,25.0,25.0,0.035
525,-25.0,0.0,25.0,25.0,0.15375
526,25.0,0.0,25.0,25.0,-0.0375
527,0.0,25.0,25.0,25.0,-0.03
528,0.0,25.0,25.0,25.0,-0.01625
529,-25.0,0.0,25.0,25.0,0.04375
530,0.0,25.0,25.0,25.0,0.0
531,-25.0,0.0,25.0,25.0,0.03875
532,0.0,25.0,25.0,25.0,-0.00375
533,-25.0,0.0,25.0,25.0,0.06875
534,0.0,25.0,25.0,25.0,-0.01375
535,-25.0,0.0,25.0,25.0,0.0125
536,0.0,25.0,25.0,25.0,-0.0325
537,0.0,25.0,25.0,25.0,-0.015
538,25.0,-25.0,35.35534,35.35534,0.005303301
539,25.0,0.0,25.0,25.0,0.0175
540,0.0,25.0,25.0,25.0,-0.01
541,-25.0,25.0,35.35534,35.35534,0.024748737
542,0.0,25.0,25.0,25.0,-0.00375
543,25.0,0.0,25.0,25.0,-0.0075
544,0.0,25.0,25.0,25.0,-0.0175
545,-25.0,0.0,25.0,25.0,0.00875
546,-25.0,0.0,25.0,25.0,0.08375
547,25.0,0.0,25.0,25.0,-0.06
548,0.0,25.0,25.0,25.0,-0.03875
549,0.0,25.0,25.0,25.0,-0.045
550,-25.0,0.0,25.0,25.0,0.06625
551,-25.0,0.0,25.0,25.0,0.0775
552,25.0,0.0,25.0,25.0,-0.035
553,0.0,25.0,25.0,25.0,-0.00375
554,0.0,25.0,25.0,25.0,-0.0325
555,-25.0,0.0,25.0,25.0,0.0725
556,25.0,0.0,25.0,25.0,-0.0625
557,0.0,25.0,25.0,25.0,0.0325
558,-25.0,0.0,25.0,25.0,0.07625
559,27.9375,0.0,27.922174,27.922174,-0.06603175
560,0.0,25.0,25.0,25.0,0.0125
561,0.0,25.0,25.0,25.0,-0.03875
562,-25.0,0.0,25.0,25.0,0.06125
563,0.0,25.0,25.0,25.0,-0.01375
564,0.0,25.0,25.0,25.0,-0.05
565,-25.0,0.0,25.0,25.0,0.00375
566,0.0,25.0,25.0,25.0,-0.03375
567,-25.0,0.0,25.0,25.0,-0.01875
568,0.0,25.0,25.0,25.0,-0.05125
569,-25.0,0.0,25.0,25.0,0.095
570,0.0,25.0,25.0,25.0,-0.105
571,-25.0,0.0,25.0,25.0,0.18875
572,0.0,25.0,25.0,25.0,-0.12
573,-25.0,0.0,25.0,25.0,0.09875
574,0.0,25.0,25.0,25.0,-0.0875
575,-25.0,0.0,25.0,25.0,0.04875
576,0.0,25.0,25.0,25.0,-0.11625
577,-25.0,0.0,25.0,25.0,0.02125
578,0.0,25.0,25.0,25.0,-0.14125
579,-25.0,0.0,25.0,25.0,-0.0675
580,0.0,25.0,25.0,25.0,-0.10625
