node_idx,position_x,position_y,area,roughness,min_elevation,elevation,aspect,curvature,flow_accumulation
195,802976.56,350182.44,625.0,0.06,316.4636,317.59375,177.09523,0.0010355503,3.0
196,803001.56,350182.44,625.0,0.06,317.1784,317.46875,173.93622,0.0009751302,7.0
197,803026.56,350182.44,625.0,0.06,315.7088,317.25,151.29118,0.00013741305,1.0
198,803051.56,350182.44,625.0,0.06,308.76126,316.625,147.81612,0.004165614,1.0
199,803076.56,350182.44,625.0,0.06,308.87616,316.6875,221.59224,0.00204861,1.0
200,803101.56,350182.44,625.0,0.06,316.31546,317.78125,180.47032,3.143758e-05,3.0
201,803126.56,350182.44,625.0,0.06,313.53906,317.59375,137.80658,0.00021716853,1.0
202,803151.56,350182.44,625.0,0.06,313.2466,313.8125,229.86388,0.00041365047,1.0
203,803176.56,350182.44,625.0,0.06,313.9615,315.34375,286.2393,2.2487546e-05,1.0
204,803201.56,350182.44,625.0,0.06,315.125,315.40625,325.26038,3.1598853e-07,3.0
205,803226.56,350182.44,625.0,0.06,315.3529,316.75,266.95206,2.8623228e-07,1.0
206,803251.56,350182.44,625.0,0.06,317.64542,318.5625,266.25537,1.4956119e-05,1.0
207,803276.56,350182.44,625.0,0.06,318.87927,319.0,243.08345,4.8150003e-05,1.0
208,803301.56,350182.44,625.0,0.06,318.9375,319.875,259.8423,3.0017316e-05,1.0
209,803326.56,350182.44,625.0,0.06,321.71002,323.59375,271.52945,4.4440112e-05,1.0
210,803351.56,350182.44,625.0,0.06,324.15262,324.6875,251.27322,0.00013940051,6.0
211,803376.56,350182.44,625.0,0.06,324.83798,325.15625,346.5143,3.1478965e-05,2.0
212,803401.56,350182.44,625.0,0.06,325.31644,325.65625,276.1076,1.0698121e-05,1.0
213,803426.56,350182.44,625.0,0.06,325.5625,325.65625,326.96765,1.68583e-06,1.0
214,803451.56,350182.44,625.0,0.06,326.1035,327.5,255.91426,1.1621169e-05,1.0
215,803476.56,350182.44,625.0,0.06,328.06107,328.46875,250.09787,3.090481e-06,1.0
216,803501.56,350182.44,872.03546,0.06,328.10477,328.59375,146.23602,2.268615e-06,2.0
217,802676.56,350157.44,1184.2656,0.1,293.1492,295.90625,184.71475,7.86643e-14,7.0
218,802701.56,350157.44,625.0,0.06,296.1659,296.875,325.2568,1.3469972e-13,1.0
219,802726.56,350157.44,625.0,0.06,297.75916,298.625,270.0,3.286195e-29,1.0
220,802751.56,350157.44,625.0,0.06,299.46606,300.9375,270.0,9.12832e-30,1.0
221,802776.56,350157.44,625.0,0.06,302.12732,303.71875,234.92233,9.043648e-05,2.0
222,802801.56,350157.44,625.0,0.06,304.3358,305.59375,230.38792,2.4846686e-06,1.0
223,802826.56,350157.44,625.0,0.06,306.10577,307.46875,202.78189,6.731852e-05,1.0
224,802851.56,350157.44,625.0,0.06,306.4654,306.90625,181.95114,1.5054059e-05,1.0
225,802876.56,350157.44,625.0,0.06,306.1578,306.8125,237.00096,0.0002727009,1.0
226,802901.56,350157.44,625.0,0.06,307.20218,309.90625,232.22397,6.0590235e-05,1.0
227,802926.56,350157.44,625.0,0.06,311.34534,313.6875,273.15436,6.6466615e-05,1.0
228,802951.56,350157.44,625.0,0.06,314.93784,315.78125,253.47006,3.8381473e-05,1.0
229,802976.56,350157.44,625.0,0.1,316.00397,316.90625,244.57271,5.39234e-06,1.0
230,803001.56,350157.44,625.0,0.06,316.92255,317.75,208.97507,2.3271063e-05,1.0
231,803026.56,350157.44,625.0,0.1,312.43918,316.59375,124.58998,0.00038200108,3.0
232,803051.56,350157.44,625.0,0.06,308.00146,308.09375,224.26904,0.0004254039,1.0
233,803076.56,350157.44,625.0,0.06,308.1626,311.5,265.11597,0.0007389448,1.0
234,803101.56,350157.44,625.0,0.06,314.03824,315.9375,179.74586,5.9981732e-05,1.0
235,803126.56,350157.44,625.0,0.06,312.3125,313.21875,126.737686,0.0007065733,10.0
236,803151.56,350157.44,625.0,0.1,312.8293,313.40625,296.43112,6.1265055e-05,1.0
237,803176.56,350157.44,625.0,0.06,313.98663,315.5,275.3507,3.971666e-05,1.0
238,803201.56,350157.44,625.0,0.06,315.15198,315.96875,216.77914,3.5508452e-05,1.0
239,803226.56,350157.44,625.0,0.06,315.43808,316.84375,293.98383,1.3847986e-05,4.0
240,803251.56,350157.44,625.0,0.06,317.52792,318.5625,282.9225,1.08892755e-05,1.0
241,803276.56,350157.44,625.0,0.06,318.48477,318.875,202.18645,1.2989207e-05,1.0
242,803301.56,350157.44,625.0,0.06,318.76602,319.8125,265.02124,2.533328e-05,1.0
243,803326.56,350157.44,625.0,0.06,321.5303,323.65625,278.86633,3.2668966e-05,1.0
244,803351.56,350157.44,625.0,0.06,324.1999,324.75,288.37274,2.3538949e-05,1.0
245,803376.56,350157.44,625.0,0.06,325.15704,325.40625,191.10689,3.6692074e-06,1.0
246,803401.56,350157.44,625.0,0.06,325.3309,325.59375,235.46475,4.2235683e-06,1.0
247,803426.56,350157.44,625.0,0.1,325.59106,325.78125,83.66068,1.3294634e-05,5.0
248,803451.56,350157.44,625.0,0.06,326.23434,327.5,258.11032,2.7425915e-05,1.0
249,803476.56,350157.44,625.0,0.06,327.50525,327.65625,174.851,9.710211e-06,1.0
250,803501.56,350157.44,625.0,0.1,327.7635,328.375,257.42105,9.0788735e-06,3.0
251,803526.56,350157.44,1052.4183,0.06,327.4375,327.9375,62.726906,7.63802e-06,4.0
252,802676.56,350132.44,1010.5544,0.06,293.20227,295.75,270.0,3.286195e-29,1.0
253,802701.56,350132.44,625.0,0.06,296.44138,297.3125,325.2568,1.3469972e-13,1.0
254,802726.56,350132.44,625.0,0.06,297.9705,299.21875,290.36783,1.3469972e-13,1.0
255,802751.56,350132.44,625.0,0.06,299.33185,300.71875,270.08994,8.597984e-13,1.0
256,802776.56,350132.44,625.0,0.06,301.18915,302.8125,270.0,3.286195e-29,1.0
257,802801.56,350132.44,625.0,0.06,303.17844,304.46875,232.74162,3.8633734e-05,3.0
258,802826.56,350132.44,625.0,0.06,304.80347,306.0,223.46477,7.048349e-06,1.0
259,802851.56,350132.44,625.0,0.06,305.13873,306.09375,122.44514,6.5190607e-06,1.0
260,802876.56,350132.44,625.0,0.06,304.788,305.625,166.04832,2.9059438e-05,1.0
261,802901.56,350132.44,625.0,0.06,304.99417,308.0,240.28027,1.4314511e-05,1.0
262,802926.56,350132.44,625.0,0.06,308.76447,312.71875,240.53267,1.7814546e-05,1.0
263,802951.56,350132.44,625.0,0.06,312.92902,315.1875,174.584,3.703118e-05,3.0
264,802976.56,350132.44,625.0,0.1,314.5918,316.40625,177.86676,7.509386e-05,1.0
265,803001.56,350132.44,625.0,0.1,315.27042,316.9375,227.93867,5.5934754e-05,1.0
266,803026.56,350132.44,625.0,0.1,312.99207,315.25,117.14768,1.7437718e-05,1.0
267,803051.56,350132.44,625.0,0.06,308.00076,308.84375,17.373953,0.0021562676,1.0
268,803076.56,350132.44,625.0,0.06,307.288,308.25,257.52863,0.005249937,2.0
269,803101.56,350132.44,625.0,0.06,310.62494,313.09375,147.59193,2.8882596e-05,2.0
270,803126.56,350132.44,625.0,0.06,310.611,312.1875,261.0441,8.960191e-05,1.0
271,803151.56,350132.44,625.0,0.1,312.04898,313.03125,212.73767,1.0590043e-05,1.0
272,803176.56,350132.44,625.0,0.1,312.70203,314.625,167.57599,9.249375e-05,2.0
273,803201.56,350132.44,625.0,0.1,314.58282,315.46875,241.27249,7.672266e-06,1.0
274,803226.56,350132.44,625.0,0.06,316.02286,316.75,267.0635,1.7071996e-05,1.0
275,803251.56,350132.44,625.0,0.06,317.43994,318.21875,268.35315,3.3749235e-05,1.0
276,803276.56,350132.44,625.0,0.06,318.059,318.5,246.98569,5.5079367e-06,1.0
277,803301.56,350132.44,625.0,0.06,318.52774,319.0625,265.70685,0.00022912194,1.0
278,803326.56,350132.44,625.0,0.06,321.1906,323.25,268.955,6.348618e-05,1.0
279,803351.56,350132.44,625.0,0.1,323.99637,324.65625,269.60718,4.178612e-06,1.0
280,803376.56,350132.44,625.0,0.1,324.77774,325.0625,228.11449,5.812929e-07,1.0
281,803401.56,350132.44,625.0,0.1,324.97937,325.25,212.4944,7.462731e-08,1.0
282,803426.56,350132.44,625.0,0.06,325.06836,325.46875,220.1393,7.666197e-05,1.0
283,803451.56,350132.44,625.0,0.1,326.53278,327.3125,280.90503,1.1649308e-05,1.0
284,803476.56,350132.44,625.0,0.1,327.49606,327.625,280.57965,2.7201709e-06,1.0
285,803501.56,350132.44,625.0,0.1,327.8138,328.1875,249.7126,1.663044e-06,1.0
286,803526.56,350132.44,625.0,0.06,327.85413,328.09375,129.64418,1.5604452e-05,1.0
287,803551.56,350132.44,891.776,0.06,327.7274,327.90625,347.75073,1.3183441e-06,1.0
288,802676.56,350107.44,843.45325,0.1,293.61978,296.0625,274.55637,2.1046833e-15,1.0
289,802701.56,350107.44,625.0,0.1,296.77216,298.125,272.30835,1.6280395e-14,1.0
290,802726.56,350107.44,625.0,0.06,298.38766,298.875,242.19855,1.40159186e-14,1.0
291,802751.56,350107.44,625.0,0.06,299.29047,299.75,270.0,3.286195e-29,1.0
292,802776.56,350107.44,625.0,0.06,300.0248,301.6875,265.44363,2.104683e-15,1.0
293,802801.56,350107.44,625.0,0.06,302.18808,303.5,44.977085,7.1230215e-07,2.0
294,802826.56,350107.44,625.0,0.06,303.97623,304.75,224.74554,1.0785819e-05,1.0
